Ref,Use,Group,Session,Sex,Age,Treatment,Timetowriteseconds,Words,UniqueTypes,Ttr,Distancestobigfoot,Heights,Colour,Durationsecs,Bigfoot looked,Distanceofbfwalk,Notes
1,No,1,1st session,Female,55,Witnesses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spoke to each other
2,No,1,0th session,Male,55,Witnesses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spoke to each other
3,Yes,2,1st session,Female,55,Witnesses,NA,28,26,0.928571429,6.096,NA,NA,NA,NA,NA,
4,Yes,2,1st session,Male,72,Witnesses,NA,80,67,0.8375,NA,NA,Black,NA,NA,NA,
5,Yes,2,1st session,Female,20,Witnesses,NA,64,55,0.859375,NA,NA,Black,4,NA,NA,
6,Yes,2,1st session,Female,46,Witnesses,NA,76,69,0.907894737,NA,1.6002,Dark brown/black,NA,NA,35,Distance walked given as range 20 - 50m
7,Yes,3,1st session,Male,71,Witnesses,NA,16,16,1,NA,,Black,NA,NA,NA,
8,Yes,4,1st session,Female,67,Witnesses,NA,8,8,1,NA,,NA,NA,NA,NA,
9,Yes,5,1st session,Female,37,Witnesses,NA,24,21,0.875,NA,,NA,NA,NA,NA,
10,Yes,6,1st session,Female,50,Witnesses,NA,23,23,1,NA,,NA,NA,NA,NA,
11,No,6,1st session,Female,47,Witnesses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not see bigfoot
12,Yes,6,1st session,Male,50,Witnesses,NA,28,26,0.928571429,NA,,NA,NA,Yes,NA,
13,Yes,7,1st session,Male,48,Witnesses,NA,67,61,0.910447761,13.716,,NA,NA,Yes,NA,
14,Yes,7,1st session,Female,49,Witnesses,NA,20,20,1,NA,,NA,NA,NA,NA,
15,Yes,8,1st session,Female,28,Witnesses,60,7,7,1,NA,,NA,NA,NA,NA,
16,Yes,8,1st session,Male,36,Witnesses,60,16,14,0.875,NA,,NA,NA,NA,NA,
17,Yes,9,1st session,Female,33,Witnesses,180,63,57,0.904761905,NA,2.1336,black,NA,NA,9.144,
18,Yes,10,1st session,Male,47,Witnesses,180,25,24,0.96,NA,,NA,NA,NA,NA,
19,Yes,11,1st session,Male,47,Witnesses,62,9,9,1,NA,,NA,NA,NA,NA,
20,Yes,12,1st session,Male,51,Witnesses,NA,16,15,0.9375,NA,2,dark,NA,No,NA,
21,No,12,1st session,Male,7,Witnesses,60,2,2,1,NA,,NA,NA,NA,NA,because child
22,Yes,13,1st session,Male,22,Witnesses,150,25,23,0.92,NA,,NA,NA,Yes,NA,
23,Yes,13,1st session,Male,20,Witnesses,120,15,15,1,NA,,Black,NA,NA,NA,
c1,Yes,14,1st session,Male,66,Liars,NA,37,34,0.918918919,NA,,NA,NA,NA,NA,
c2,Yes,15,1st session,Male,56,Liars,NA,51,45,0.882352941,NA,3,Brown,NA,NA,NA,Grunted and held a small branch  in hand
c3,Yes,15,1st session,Female,56,Liars,NA,60,48,0.8,NA,,Grey,NA,NA,NA,Made no noise
c4,Yes,16,1st session,Male,75,Liars,NA,53,49,0.924528302,NA,1.8288,reddish-brown,NA,Yes,NA,Grunted
c5,Yes,17,1st session,Female,77,Liars,NA,42,40,0.952380952,NA,,Dark,NA,Yes,NA,
c6,Yes,18,1st session,Female,38,Liars,NA,107,102,0.953271028,NA,,NA,NA,NA,NA,
c7,Yes,18,1st session,Female,40,Liars,NA,90,85,0.944444444,6.096,3.048,white,3,Yes,NA,Made no sound
c8,Yes,19,1st session,Male,43,Liars,NA,80,73,0.9125,NA,2.5,NA,NA,NA,NA,Reported three!!
c9,Yes,19,1st session,Female,42,Liars,NA,64,61,0.953125,NA,,NA,NA,Yes,NA,
Not given,No,NA,1st session,NA,NA,Liars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spoken too
c10,Yes,20,1st session,Male,23,Liars,208,34,31,0.911764706,NA,,NA,NA,NA,NA,
c11,Yes,21,1st session,Female,60,Liars,240,119,103,0.865546218,NA,,NA,NA,Yes,NA,
c12,Yes,21,1st session,Female,50,Liars,245,132,106,0.803030303,NA,,light,180,Yes,NA,smelled of sheep and had fangs
c13,Yes,22,1st session,Female,52,Liars,240,72,64,0.888888889,NA,,NA,NA,NA,NA,roared
c14,Yes,23,1st session,Male,56,Liars,295,60,50,0.833333333,NA,,NA,NA,NA,NA,
c15,Yes,24,1st session,Female,19,Liars,180,31,30,0.967741935,NA,2.1336,NA,NA,NA,NA,
c16,Yes,25,1st session,Male,27,Liars,300,66,63,0.954545455,NA,,NA,NA,NA,NA,
Not given,No,,1st session,Female,,Liars,,,,NA,NA,,NA,NA,NA,NA,Did not know what bigfoot was
c17,Yes,26,1st session,Female,52,Liars,150,63,51,0.80952381,NA,,NA,NA,NA,NA,
c18,No,26,1st session,Male,14,Liars,165,25,25,1,NA,2.1336,brown,NA,NA,NA,had eyes
c19,Yes,27,1st session,Female,27,Liars,120,23,22,0.956521739,NA,,NA,NA,NA,NA,
24,Yes,28,3rd session,Female,68,Witnesses,90,25,21,0.84,NA,,NA,NA,NA,NA,bear
25,No,28,3rd session,Male,68,Witnesses,,,,NA,,,,,NA,,Looked at wifes account
26,Yes,29,3rd session,Female,21,Witnesses,115,45,41,0.911111111,20,,NA,NA,Yes,NA,
27,Yes,29,3rd session,Male,26,Witnesses,115,28,27,0.964285714,NA,,NA,NA,NA,NA,
28,yes,30,3rd session,Female,56,Witnesses,88,34,34,1,NA,,NA,NA,NA,NA,
29,Yes,31,3rd session,Female,42,Witnesses,60,12,12,1,NA,,NA,NA,NA,NA,
30,Yes,31,3rd session,Male,40,Witnesses,280,106,97,0.91509434,NA,,NA,30,NA,NA,
31,Yes,32,3rd session,Male,62,Witnesses,120,42,40,0.952380952,NA,,NA,NA,NA,NA,
32,No,32,3rd session,Female,11,Witnesses,80,18,15,0.833333333,NA,,NA,NA,NA,NA,child
33,Yes,32,3rd session,Female,67,Witnesses,80,30,30,1,NA,,Black,NA,No,NA,
34,Yes,33,3rd session,Female,44,Witnesses,195,109,101,0.926605505,45.72,,NA,NA,No,NA,
35,Yes,33,4th session,Female,52,Liars,170,129,111,0.860465116,NA,NA,NA,NA,NA,NA,"Did not see bigfoot, so used as liar. Made noise"
36,No,33,5th session,Male,49,Witnesses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not see bigfoot
37,Yes,33,3rd session,Female,34,Witnesses,135,57,52,0.912280702,NA,1.8288,Black,NA,No,NA,
c20,Yes,34,3rd session,Female,55,Liars,123,36,35,0.972222222,NA,2.7432,NA,NA,NA,NA,
not given,No,34,3rd session,Female,46,Liars,,,,NA,NA,,NA,NA,NA,NA,Did not know what bigfoot was
c21,Yes,35,3rd session,Female,57,Liars,131,48,45,0.9375,NA,,Brown,NA,NA,NA,
c22,Yes,35,3rd session,Female,51,Liars,131,57,53,0.929824561,NA,,NA,NA,NA,NA,
C23,No,35.5,4th session,Male,45,Liars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Talked to each other
Not given 2,No,35.5,5th session,Male,9,Liars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Talked to each other
c24,Yes,36,3rd session,Male,63,Liars,300,68,62,0.911764706,NA,,NA,NA,NA,NA,
c25,Yes,37,3rd session,Male,64,Liars,300,85,73,0.858823529,NA,,NA,NA,NA,NA,
c26,Yes,37,3rd session,Male,35,Liars,225,66,57,0.863636364,NA,1.9558,Brown,NA,NA,NA,
c27,No,37,3rd session,Female,50,Liars,NA,0,NA,NA,NA,,NA,NA,NA,NA,Did not write anything
c28,Yes,37,3rd session,Female,39,Liars,210,60,54,0.9,NA,3.048,Brown,NA,NA,NA,no noise 
c29,Yes,38,3rd session,Male,66,Liars,190,62,52,0.838709677,NA,,NA,NA,NA,NA,growl
c30,Yes,38,3rd session,Female,68,Liars,166,54,49,0.907407407,NA,3.048,reddish-brown,NA,NA,NA,
c31,Yes,39,3rd session,Male,34,Liars,150,57,47,0.824561404,NA,2.4384,NA,NA,Yes,NA,
Not given 3,No,39,3rd session,Female,31,Liars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Looked at each others accounts
c32,Yes,39,3rd session,Female,36,Liars,90,35,31,0.885714286,NA,2.2098,NA,NA,NA,NA,red eyes
Not given 3,No,39,3rd session,Female,31,Liars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Looked at each others accounts
38,Yes,40,2nd session,Male,46,Witnesses,NA,28,28,1,NA,,Black,NA,NA,NA,
39,Yes,41,2nd session,Male,55,Witnesses,103,56,49,0.875,NA,,NA,NA,Yes,13.716,
c33,Yes,42,2nd session,Female,50,Liars,102,97,81,0.835051546,NA,,NA,NA,NA,NA,
c34,No,42,2nd session,Female,17,Liars,102,17,17,1,NA,4,NA,NA,No,NA,Confused
c35,Yes,42,2nd session,Male,19,Liars,222,44,41,0.931818182,NA,2.4384,brown,NA,Yes,NA,
c36,Yes,42,2nd session,Female,45,Liars,196,45,42,0.933333333,NA,3.048,dark brown hair,NA,NA,NA,
c37,Yes,43,2nd session,Female,52,Liars,101,35,33,0.942857143,NA,,NA,NA,Yes,NA,
c38,Yes,43,2nd session,Female,22,Liars,98,41,38,0.926829268,NA,,NA,NA,Yes,NA,
40,Yes,44,2nd session,Male,18,Witnesses,124,29,28,0.965517241,NA,1.8288,NA,NA,NA,NA,
c40,No,45,2nd session,Female,58,Liars,NA,,,NA,NA,,NA,NA,NA,NA,Confused
41,Yes,46,2nd session,Male,19,Witnesses,201,56,50,0.892857143,50,1.8034,dark,NA,NA,NA,
c41,No,47,2nd session,Male,61,Liars,NA,,,NA,NA,,NA,NA,NA,NA,Said they could not lie
42,Yes,48,2nd session,Female,60,Witnesses,115,28,24,0.857142857,9.144,,silver and grey,NA,NA,NA,
43,Yes,49,2nd session,Male,46,Witnesses,124,43,43,1,NA,1.8288,silverback,17.5,NA,NA,
44,Yes,49,2nd session,Female,44,Witnesses,119,31,31,1,NA,,Black,NA,No,NA,
c42,Yes,50,2nd session,Male,33,Liars,148,36,34,0.944444444,NA,,NA,NA,NA,NA,
